ID,Name,SKU,Type,Short description,Shipping class,Price,Shipping Price,Shipping counts for each unit (Yes/No),Max Quantity Per Order
1,MainOfferFreeShippingTwinCream,EBTWCRMAINA,Twin,Twin - $19.95,Cream,1995,995,yes,0
2,MainOfferFreeShippingTwinCamel,EBTWCMMAINA,Twin,Twin - $19.95,Camel,1995,995,yes,0
3,MainOfferFreeShippingTwinBrown,EBTWBWMAINA,Twin,Twin - $19.95,Brown,1995,995,yes,0
4,MainOfferFreeShippingTwinBlue,EBTWBLMAINA,Twin,Twin - $19.95,Blue,1995,995,yes,1
5,MainOfferFreeShippingTwinBurgundy,EBTWBRMAINA,Twin,Twin - $19.95,Burgundy,1995,995,yes,0
6,MainOfferFreeShippingTwinWhite,MaintwinWhite,Twin,Twin - $19.95,White,1995,995,yes,1
7,MainOfferFreeShippingTwinLavender,MaintwinLav,Twin,Twin - $19.95,Lavender,1995,995,yes,1
8,MainOfferFreeShippingTwinDarkGray,EBTWDKGRAY,Twin,Twin - $19.95,Dark Gray,1995,995,yes,1
9,MainOfferFreeShippingTwinSageGreen,EBTWSGGREEN,Twin,Twin - $19.95,Sage Green,1995,995,yes,1
10,MainOfferFreeShippingTwinSandShell,EBTWSDSHELL,Twin,Twin - $19.95,Sand Shell,1995,995,yes,1
11,MainOfferFreeShippingTwinXLCream,MaintwinxlCream,Twin XL,Twin XL - $39.95,Cream,3995,995,yes,0
12,MainOfferFreeShippingTwinXLCamel,MaintwinXLCamel,Twin XL,Twin XL - $39.95,Camel,3995,995,yes,0
13,MainOfferFreeShippingTwinXLBrown,MaintwinXLBrown,Twin XL,Twin XL - $39.95,Brown,3995,995,yes,0
14,MainOfferFreeShippingTwinXLBlue,MaintwinXLBlue,Twin XL,Twin XL - $39.95,Blue,3995,995,yes,1
15,MainOfferFreeShippingTwinXLBurgundy,MaintwinXLBurgundy,Twin XL,Twin XL - $39.95,Burgundy,3995,995,yes,0
16,MainOfferFreeShippingTwinXLWhite,MaintwinXLWhite,Twin XL,Twin XL - $39.95,White,3995,995,yes,1
17,MainOfferFreeShippingTwinXLLavender,MaintwinXLLav,Twin XL,Twin XL - $39.95,Lavender,3995,995,yes,1
18,MainOfferFreeShippingTwinXLDarkGray,MaintwinXLDKGRAY,Twin XL,Twin XL - $39.95,Dark Gray,3995,995,yes,1
19,MainOfferFreeShippingTwinXLSageGreen,MaintwinXLSGGREEN,Twin XL,Twin XL - $39.95,Sage Green,3995,995,yes,1
20,MainOfferFreeShippingTwinXLSandShell,MaintwinXLSDSHELL,Twin XL,Twin XL - $39.95,Sand Shell,3995,995,yes,1
21,MainOfferFreeShippingFullCream,EBFLCRMAINB,Full,Full - $49.95,Cream,4995,995,yes,0
22,MainOfferFreeShippingFullCamel,EBFLCMMAINB,Full,Full - $49.95,Camel,4995,995,yes,0
23,MainOfferFreeShippingFullBrown,EBFLBWMAINB,Full,Full - $49.95,Brown,4995,995,yes,0
24,MainOfferFreeShippingFullBlue,EBFLBLMAINB,Full,Full - $49.95,Blue,4995,995,yes,1
25,MainOfferFreeShippingFullBurgundy,EBFLBRMAINB,Full,Full - $49.95,Burgundy,4995,995,yes,0
26,MainOfferFreeShippingFullWhite,MainFullWhite,Full,Full - $49.95,White,4995,995,yes,1
27,MainOfferFreeShippingFullLavender,MainFullLav,Full,Full - $49.95,Lavender,4995,995,yes,1
28,MainOfferFreeShippingFullDarkGray,EBFLDKGRAYMAINB,Full,Full - $49.95,Dark Gray,4995,995,yes,0
29,MainOfferFreeShippingFullSageGreen,MainFullSGGREEN,Full,Full - $49.95,Sage Green,4995,995,yes,0
30,MainOfferFreeShippingFullSandShell,MainFullSDSHELL,Full,Full - $49.95,Sand Shell,4995,995,yes,1
31,MainOfferFreeShippingQueenCream,EBQNCRMAINB,Queen,Queen - $59.95,Cream,5995,995,yes,0
32,MainOfferFreeShippingQueenCamel,EBQNCMMAINB,Queen,Queen - $59.95,Camel,5995,995,yes,0
33,MainOfferFreeShippingQueenBrown,EBQNBWMAINB,Queen,Queen - $59.95,Brown,5995,995,yes,0
34,MainOfferFreeShippingQueenBlue,EBQNBLMAINB,Queen,Queen - $59.95,Blue,5995,995,yes,1
35,MainOfferFreeShippingQueenBurgundy,EBQNBRMAINB,Queen,Queen - $59.95,Burgundy,5995,995,yes,0
36,MainOfferFreeShippingQueenWhite,MainQueenWhite,Queen,Queen - $59.95,White,5995,995,yes,1
37,MainOfferFreeShippingQueenLavender,MainQueenLav,Queen,Queen - $59.95,Lavender,5995,995,yes,0
38,MainOfferFreeShippingQueenDarkGray,EBQNDKGRAYMAINB,Queen,Queen - $59.95,Dark Gray,5995,995,yes,1
39,MainOfferFreeShippingQueenSageGreen,MainQueenSGGREEN,Queen,Queen - $59.95,Sage Green,5995,995,yes,1
40,MainOfferFreeShippingQueenSandShell,MainQueenSDSHELL,Queen,Queen - $59.95,Sand Shell,5995,995,yes,1
41,MainOfferFreeShippingKingCream,EBKGCRMAINB,King,King - $69.95,Cream,6995,995,yes,0
